// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:03 (3.75 sec)   *****
// ***** Failed to build in Parallel, switching to sequential build   *****
// ***** Done, took 00:00:04 (4.68 sec)   *****
// Found 6 benchmarks:
//   Md5VsSha256.Sha256: Job-AZMYKM(Toolchain=InProcessEmitToolchain)
//   Md5VsSha256.Md5: Job-AZMYKM(Toolchain=InProcessEmitToolchain)
//   Md5VsSha256.Sha256: .NET Core 3.1(Runtime=.NET Core 3.1)
//   Md5VsSha256.Md5: .NET Core 3.1(Runtime=.NET Core 3.1)
//   Md5VsSha256.Sha256: .NET Core 5.0(Runtime=.NET Core 5.0)
//   Md5VsSha256.Md5: .NET Core 5.0(Runtime=.NET Core 5.0)

// **************************
// Benchmark: Md5VsSha256.Sha256: Job-AZMYKM(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1
// ! Failed to set up priority High for process System.Diagnostics.Process (dotnet). Make sure you have the right permissions. Message: Permission denied

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-AZMYKM(Toolchain=InProcessEmitToolchain)

OverheadWarmup   3: 32768 op, 138389.00 ns, 4.2233 ns/op
OverheadWarmup   4: 32768 op, 138553.00 ns, 4.2283 ns/op
OverheadWarmup   5: 32768 op, 138545.00 ns, 4.2281 ns/op
OverheadWarmup   6: 32768 op, 138365.00 ns, 4.2226 ns/op
OverheadWarmup   7: 32768 op, 138990.00 ns, 4.2416 ns/op
OverheadWarmup   8: 32768 op, 138422.00 ns, 4.2243 ns/op

OverheadActual   1: 32768 op, 138443.00 ns, 4.2249 ns/op
OverheadActual   2: 32768 op, 138554.00 ns, 4.2283 ns/op
OverheadActual   3: 32768 op, 142200.00 ns, 4.3396 ns/op
OverheadActual   4: 32768 op, 140632.00 ns, 4.2917 ns/op
OverheadActual   5: 32768 op, 138306.00 ns, 4.2208 ns/op
OverheadActual   6: 32768 op, 138498.00 ns, 4.2266 ns/op
OverheadActual   7: 32768 op, 138383.00 ns, 4.2231 ns/op
OverheadActual   8: 32768 op, 138371.00 ns, 4.2227 ns/op
OverheadActual   9: 32768 op, 141320.00 ns, 4.3127 ns/op
OverheadActual  10: 32768 op, 139954.00 ns, 4.2711 ns/op
OverheadActual  11: 32768 op, 138343.00 ns, 4.2219 ns/op
OverheadActual  12: 32768 op, 140767.00 ns, 4.2959 ns/op
OverheadActual  13: 32768 op, 138444.00 ns, 4.2250 ns/op
OverheadActual  14: 32768 op, 138353.00 ns, 4.2222 ns/op
OverheadActual  15: 32768 op, 142954.00 ns, 4.3626 ns/op

WorkloadWarmup   1: 32768 op, 904193620.00 ns, 27.5938 us/op
WorkloadWarmup   2: 32768 op, 908519414.00 ns, 27.7258 us/op
WorkloadWarmup   3: 32768 op, 893662869.00 ns, 27.2724 us/op
WorkloadWarmup   4: 32768 op, 885400217.00 ns, 27.0203 us/op
WorkloadWarmup   5: 32768 op, 869005959.00 ns, 26.5200 us/op
WorkloadWarmup   6: 32768 op, 861760378.00 ns, 26.2988 us/op
WorkloadWarmup   7: 32768 op, 858490091.00 ns, 26.1990 us/op
WorkloadWarmup   8: 32768 op, 846897815.00 ns, 25.8453 us/op
WorkloadWarmup   9: 32768 op, 840660533.00 ns, 25.6549 us/op
WorkloadWarmup  10: 32768 op, 855635140.00 ns, 26.1119 us/op
WorkloadWarmup  11: 32768 op, 838155123.00 ns, 25.5785 us/op

WorkloadActual   1: 32768 op, 862373833.00 ns, 26.3176 us/op
WorkloadActual   2: 32768 op, 859168777.00 ns, 26.2198 us/op
WorkloadActual   3: 32768 op, 873334570.00 ns, 26.6521 us/op
WorkloadActual   4: 32768 op, 840419188.00 ns, 25.6476 us/op
WorkloadActual   5: 32768 op, 846533541.00 ns, 25.8342 us/op
WorkloadActual   6: 32768 op, 861259428.00 ns, 26.2836 us/op
WorkloadActual   7: 32768 op, 860035403.00 ns, 26.2462 us/op
WorkloadActual   8: 32768 op, 886018544.00 ns, 27.0391 us/op
WorkloadActual   9: 32768 op, 901429957.00 ns, 27.5095 us/op
WorkloadActual  10: 32768 op, 873156828.00 ns, 26.6466 us/op
WorkloadActual  11: 32768 op, 888192979.00 ns, 27.1055 us/op
WorkloadActual  12: 32768 op, 884982793.00 ns, 27.0075 us/op
WorkloadActual  13: 32768 op, 888078383.00 ns, 27.1020 us/op
WorkloadActual  14: 32768 op, 857267413.00 ns, 26.1617 us/op
WorkloadActual  15: 32768 op, 859157669.00 ns, 26.2194 us/op
WorkloadActual  16: 32768 op, 862249840.00 ns, 26.3138 us/op

WorkloadResult   1: 32768 op, 862235335.00 ns, 26.3133 us/op
WorkloadResult   2: 32768 op, 859030279.00 ns, 26.2155 us/op
WorkloadResult   3: 32768 op, 873196072.00 ns, 26.6478 us/op
WorkloadResult   4: 32768 op, 840280690.00 ns, 25.6433 us/op
WorkloadResult   5: 32768 op, 846395043.00 ns, 25.8299 us/op
WorkloadResult   6: 32768 op, 861120930.00 ns, 26.2793 us/op
WorkloadResult   7: 32768 op, 859896905.00 ns, 26.2420 us/op
WorkloadResult   8: 32768 op, 885880046.00 ns, 27.0349 us/op
WorkloadResult   9: 32768 op, 901291459.00 ns, 27.5052 us/op
WorkloadResult  10: 32768 op, 873018330.00 ns, 26.6424 us/op
WorkloadResult  11: 32768 op, 888054481.00 ns, 27.1013 us/op
WorkloadResult  12: 32768 op, 884844295.00 ns, 27.0033 us/op
WorkloadResult  13: 32768 op, 887939885.00 ns, 27.0978 us/op
WorkloadResult  14: 32768 op, 857128915.00 ns, 26.1575 us/op
WorkloadResult  15: 32768 op, 859019171.00 ns, 26.2152 us/op
WorkloadResult  16: 32768 op, 862111342.00 ns, 26.3096 us/op


Mean = 26.515 μs, StdErr = 0.128 μs (0.48%), N = 16, StdDev = 0.514 μs
Min = 25.643 μs, Q1 = 26.215 μs, Median = 26.311 μs, Q3 = 27.011 μs, Max = 27.505 μs
IQR = 0.796 μs, LowerFence = 25.022 μs, UpperFence = 28.205 μs
ConfidenceInterval = [25.992 μs; 27.038 μs] (CI 99.9%), Margin = 0.523 μs (1.97% of Mean)
Skewness = 0.23, Kurtosis = 1.95, MValue = 2

// **************************
// Benchmark: Md5VsSha256.Md5: Job-AZMYKM(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1
// ! Failed to set up priority High for process System.Diagnostics.Process (dotnet). Make sure you have the right permissions. Message: Permission denied

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-AZMYKM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 605189.00 ns, 605.1890 us/op
WorkloadJitting  1: 1 op, 265772.00 ns, 265.7720 us/op

OverheadJitting  2: 16 op, 768870.00 ns, 48.0544 us/op
WorkloadJitting  2: 16 op, 1128631.00 ns, 70.5394 us/op

WorkloadPilot    1: 16 op, 338588.00 ns, 21.1618 us/op
WorkloadPilot    2: 32 op, 664014.00 ns, 20.7504 us/op
WorkloadPilot    3: 64 op, 1318535.00 ns, 20.6021 us/op
WorkloadPilot    4: 128 op, 2693253.00 ns, 21.0410 us/op
WorkloadPilot    5: 256 op, 5292305.00 ns, 20.6731 us/op
WorkloadPilot    6: 512 op, 10673337.00 ns, 20.8464 us/op
WorkloadPilot    7: 1024 op, 21481937.00 ns, 20.9785 us/op
WorkloadPilot    8: 2048 op, 43111679.00 ns, 21.0506 us/op
WorkloadPilot    9: 4096 op, 85496925.00 ns, 20.8733 us/op
WorkloadPilot   10: 8192 op, 169971070.00 ns, 20.7484 us/op
WorkloadPilot   11: 16384 op, 340294166.00 ns, 20.7699 us/op
WorkloadPilot   12: 32768 op, 664613368.00 ns, 20.2824 us/op

OverheadWarmup   1: 32768 op, 150388.00 ns, 4.5895 ns/op
OverheadWarmup   2: 32768 op, 127738.00 ns, 3.8983 ns/op
OverheadWarmup   3: 32768 op, 127259.00 ns, 3.8836 ns/op
OverheadWarmup   4: 32768 op, 131172.00 ns, 4.0031 ns/op
OverheadWarmup   5: 32768 op, 127010.00 ns, 3.8760 ns/op
OverheadWarmup   6: 32768 op, 130466.00 ns, 3.9815 ns/op
OverheadWarmup   7: 32768 op, 127037.00 ns, 3.8769 ns/op

OverheadActual   1: 32768 op, 126478.00 ns, 3.8598 ns/op
OverheadActual   2: 32768 op, 127041.00 ns, 3.8770 ns/op
OverheadActual   3: 32768 op, 127049.00 ns, 3.8772 ns/op
OverheadActual   4: 32768 op, 127022.00 ns, 3.8764 ns/op
OverheadActual   5: 32768 op, 127042.00 ns, 3.8770 ns/op
OverheadActual   6: 32768 op, 127000.00 ns, 3.8757 ns/op
OverheadActual   7: 32768 op, 127597.00 ns, 3.8940 ns/op
OverheadActual   8: 32768 op, 133091.00 ns, 4.0616 ns/op
OverheadActual   9: 32768 op, 132870.00 ns, 4.0549 ns/op
OverheadActual  10: 32768 op, 127025.00 ns, 3.8765 ns/op
OverheadActual  11: 32768 op, 127086.00 ns, 3.8784 ns/op
OverheadActual  12: 32768 op, 185343.00 ns, 5.6562 ns/op
OverheadActual  13: 32768 op, 134953.00 ns, 4.1184 ns/op
OverheadActual  14: 32768 op, 127028.00 ns, 3.8766 ns/op
OverheadActual  15: 32768 op, 130571.00 ns, 3.9847 ns/op

WorkloadWarmup   1: 32768 op, 663273224.00 ns, 20.2415 us/op
WorkloadWarmup   2: 32768 op, 661756436.00 ns, 20.1952 us/op
WorkloadWarmup   3: 32768 op, 645992148.00 ns, 19.7141 us/op
WorkloadWarmup   4: 32768 op, 670199471.00 ns, 20.4529 us/op
WorkloadWarmup   5: 32768 op, 663857497.00 ns, 20.2593 us/op
WorkloadWarmup   6: 32768 op, 662725999.00 ns, 20.2248 us/op
WorkloadWarmup   7: 32768 op, 661641292.00 ns, 20.1917 us/op
WorkloadWarmup   8: 32768 op, 662282613.00 ns, 20.2113 us/op
WorkloadWarmup   9: 32768 op, 665692491.00 ns, 20.3153 us/op
WorkloadWarmup  10: 32768 op, 661812135.00 ns, 20.1969 us/op

WorkloadActual   1: 32768 op, 662415988.00 ns, 20.2153 us/op
WorkloadActual   2: 32768 op, 647303328.00 ns, 19.7541 us/op
WorkloadActual   3: 32768 op, 659616757.00 ns, 20.1299 us/op
WorkloadActual   4: 32768 op, 663410842.00 ns, 20.2457 us/op
WorkloadActual   5: 32768 op, 666676620.00 ns, 20.3454 us/op
WorkloadActual   6: 32768 op, 656658067.00 ns, 20.0396 us/op
WorkloadActual   7: 32768 op, 643912947.00 ns, 19.6507 us/op
WorkloadActual   8: 32768 op, 659299397.00 ns, 20.1202 us/op
WorkloadActual   9: 32768 op, 658336469.00 ns, 20.0908 us/op
WorkloadActual  10: 32768 op, 662696635.00 ns, 20.2239 us/op
WorkloadActual  11: 32768 op, 666208303.00 ns, 20.3311 us/op
WorkloadActual  12: 32768 op, 661923213.00 ns, 20.2003 us/op
WorkloadActual  13: 32768 op, 666579828.00 ns, 20.3424 us/op
WorkloadActual  14: 32768 op, 661979126.00 ns, 20.2020 us/op
WorkloadActual  15: 32768 op, 661296553.00 ns, 20.1812 us/op

WorkloadResult   1: 32768 op, 662288939.00 ns, 20.2115 us/op
WorkloadResult   2: 32768 op, 647176279.00 ns, 19.7503 us/op
WorkloadResult   3: 32768 op, 659489708.00 ns, 20.1260 us/op
WorkloadResult   4: 32768 op, 663283793.00 ns, 20.2418 us/op
WorkloadResult   5: 32768 op, 666549571.00 ns, 20.3415 us/op
WorkloadResult   6: 32768 op, 656531018.00 ns, 20.0357 us/op
WorkloadResult   7: 32768 op, 643785898.00 ns, 19.6468 us/op
WorkloadResult   8: 32768 op, 659172348.00 ns, 20.1163 us/op
WorkloadResult   9: 32768 op, 658209420.00 ns, 20.0870 us/op
WorkloadResult  10: 32768 op, 662569586.00 ns, 20.2200 us/op
WorkloadResult  11: 32768 op, 666081254.00 ns, 20.3272 us/op
WorkloadResult  12: 32768 op, 661796164.00 ns, 20.1964 us/op
WorkloadResult  13: 32768 op, 666452779.00 ns, 20.3385 us/op
WorkloadResult  14: 32768 op, 661852077.00 ns, 20.1981 us/op
WorkloadResult  15: 32768 op, 661169504.00 ns, 20.1773 us/op


Mean = 20.134 μs, StdErr = 0.051 μs (0.26%), N = 15, StdDev = 0.199 μs
Min = 19.647 μs, Q1 = 20.102 μs, Median = 20.196 μs, Q3 = 20.231 μs, Max = 20.341 μs
IQR = 0.129 μs, LowerFence = 19.908 μs, UpperFence = 20.425 μs
ConfidenceInterval = [19.922 μs; 20.347 μs] (CI 99.9%), Margin = 0.213 μs (1.06% of Mean)
Skewness = -1.24, Kurtosis = 3.56, MValue = 2

// **************************
// Benchmark: Md5VsSha256.Sha256: .NET Core 3.1(Runtime=.NET Core 3.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet ".NET Core 3.1.dll" --benchmarkName "BenchMarkTest.Md5VsSha256.Sha256" --job ".NET Core 3.1" --benchmarkId 0 in /Users/leonardodottavi/Projects/BenchMarkTest/BenchMarkTest/bin/Release/netcoreapp3.1/.NET Core 3.1/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: .NET Core 3.1

OverheadJitting  1: 1 op, 393496.00 ns, 393.4960 us/op
WorkloadJitting  1: 1 op, 597311.00 ns, 597.3110 us/op

OverheadJitting  2: 16 op, 678970.00 ns, 42.4356 us/op
WorkloadJitting  2: 16 op, 1102979.00 ns, 68.9362 us/op

WorkloadPilot    1: 16 op, 408145.00 ns, 25.5091 us/op
WorkloadPilot    2: 32 op, 808538.00 ns, 25.2668 us/op
WorkloadPilot    3: 64 op, 1645310.00 ns, 25.7080 us/op
WorkloadPilot    4: 128 op, 3282011.00 ns, 25.6407 us/op
WorkloadPilot    5: 256 op, 6488823.00 ns, 25.3470 us/op
WorkloadPilot    6: 512 op, 13275628.00 ns, 25.9290 us/op
WorkloadPilot    7: 1024 op, 26217347.00 ns, 25.6029 us/op
WorkloadPilot    8: 2048 op, 52860177.00 ns, 25.8106 us/op
WorkloadPilot    9: 4096 op, 105340474.00 ns, 25.7179 us/op
WorkloadPilot   10: 8192 op, 212840216.00 ns, 25.9815 us/op
WorkloadPilot   11: 16384 op, 427813384.00 ns, 26.1117 us/op
WorkloadPilot   12: 32768 op, 861394632.00 ns, 26.2877 us/op

OverheadWarmup   1: 32768 op, 126661.00 ns, 3.8654 ns/op
OverheadWarmup   2: 32768 op, 124162.00 ns, 3.7891 ns/op
OverheadWarmup   3: 32768 op, 124151.00 ns, 3.7888 ns/op
OverheadWarmup   4: 32768 op, 124195.00 ns, 3.7901 ns/op
OverheadWarmup   5: 32768 op, 126039.00 ns, 3.8464 ns/op
OverheadWarmup   6: 32768 op, 124152.00 ns, 3.7888 ns/op
OverheadWarmup   7: 32768 op, 124190.00 ns, 3.7900 ns/op
OverheadWarmup   8: 32768 op, 124140.00 ns, 3.7885 ns/op

OverheadActual   1: 32768 op, 124185.00 ns, 3.7898 ns/op
OverheadActual   2: 32768 op, 124170.00 ns, 3.7894 ns/op
OverheadActual   3: 32768 op, 128967.00 ns, 3.9358 ns/op
OverheadActual   4: 32768 op, 125113.00 ns, 3.8181 ns/op
OverheadActual   5: 32768 op, 124191.00 ns, 3.7900 ns/op
OverheadActual   6: 32768 op, 124179.00 ns, 3.7896 ns/op
OverheadActual   7: 32768 op, 124194.00 ns, 3.7901 ns/op
OverheadActual   8: 32768 op, 124214.00 ns, 3.7907 ns/op
OverheadActual   9: 32768 op, 124124.00 ns, 3.7880 ns/op
OverheadActual  10: 32768 op, 124211.00 ns, 3.7906 ns/op
OverheadActual  11: 32768 op, 124152.00 ns, 3.7888 ns/op
OverheadActual  12: 32768 op, 122989.00 ns, 3.7533 ns/op
OverheadActual  13: 32768 op, 122983.00 ns, 3.7531 ns/op
OverheadActual  14: 32768 op, 122979.00 ns, 3.7530 ns/op
OverheadActual  15: 32768 op, 124167.00 ns, 3.7893 ns/op

WorkloadWarmup   1: 32768 op, 871846955.00 ns, 26.6067 us/op
WorkloadWarmup   2: 32768 op, 885388035.00 ns, 27.0199 us/op
WorkloadWarmup   3: 32768 op, 862991106.00 ns, 26.3364 us/op
WorkloadWarmup   4: 32768 op, 858987953.00 ns, 26.2142 us/op
WorkloadWarmup   5: 32768 op, 888878602.00 ns, 27.1264 us/op
WorkloadWarmup   6: 32768 op, 883187878.00 ns, 26.9528 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 879099329.00 ns, 26.8280 us/op
WorkloadActual   2: 32768 op, 859216717.00 ns, 26.2212 us/op
WorkloadActual   3: 32768 op, 859229123.00 ns, 26.2216 us/op
WorkloadActual   4: 32768 op, 877984412.00 ns, 26.7940 us/op
WorkloadActual   5: 32768 op, 889299860.00 ns, 27.1393 us/op
WorkloadActual   6: 32768 op, 872748114.00 ns, 26.6342 us/op
WorkloadActual   7: 32768 op, 860003981.00 ns, 26.2452 us/op
WorkloadActual   8: 32768 op, 882029272.00 ns, 26.9174 us/op
WorkloadActual   9: 32768 op, 890034167.00 ns, 27.1617 us/op
WorkloadActual  10: 32768 op, 896634985.00 ns, 27.3631 us/op
WorkloadActual  11: 32768 op, 883965669.00 ns, 26.9765 us/op
WorkloadActual  12: 32768 op, 886512394.00 ns, 27.0542 us/op
WorkloadActual  13: 32768 op, 876311775.00 ns, 26.7429 us/op
WorkloadActual  14: 32768 op, 864957863.00 ns, 26.3964 us/op
WorkloadActual  15: 32768 op, 861281350.00 ns, 26.2842 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 878975150.00 ns, 26.8242 us/op
WorkloadResult   2: 32768 op, 859092538.00 ns, 26.2174 us/op
WorkloadResult   3: 32768 op, 859104944.00 ns, 26.2178 us/op
WorkloadResult   4: 32768 op, 877860233.00 ns, 26.7902 us/op
WorkloadResult   5: 32768 op, 889175681.00 ns, 27.1355 us/op
WorkloadResult   6: 32768 op, 872623935.00 ns, 26.6304 us/op
WorkloadResult   7: 32768 op, 859879802.00 ns, 26.2414 us/op
WorkloadResult   8: 32768 op, 881905093.00 ns, 26.9136 us/op
WorkloadResult   9: 32768 op, 889909988.00 ns, 27.1579 us/op
WorkloadResult  10: 32768 op, 896510806.00 ns, 27.3593 us/op
WorkloadResult  11: 32768 op, 883841490.00 ns, 26.9727 us/op
WorkloadResult  12: 32768 op, 886388215.00 ns, 27.0504 us/op
WorkloadResult  13: 32768 op, 876187596.00 ns, 26.7391 us/op
WorkloadResult  14: 32768 op, 864833684.00 ns, 26.3926 us/op
WorkloadResult  15: 32768 op, 861157171.00 ns, 26.2804 us/op

// AfterAll
// Benchmark Process 18346 has exited with code 0

Mean = 26.728 μs, StdErr = 0.099 μs (0.37%), N = 15, StdDev = 0.382 μs
Min = 26.217 μs, Q1 = 26.337 μs, Median = 26.790 μs, Q3 = 27.012 μs, Max = 27.359 μs
IQR = 0.675 μs, LowerFence = 25.324 μs, UpperFence = 28.024 μs
ConfidenceInterval = [26.320 μs; 27.136 μs] (CI 99.9%), Margin = 0.408 μs (1.53% of Mean)
Skewness = -0.07, Kurtosis = 1.51, MValue = 2

// **************************
// Benchmark: Md5VsSha256.Md5: .NET Core 3.1(Runtime=.NET Core 3.1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet ".NET Core 3.1.dll" --benchmarkName "BenchMarkTest.Md5VsSha256.Md5" --job ".NET Core 3.1" --benchmarkId 1 in /Users/leonardodottavi/Projects/BenchMarkTest/BenchMarkTest/bin/Release/netcoreapp3.1/.NET Core 3.1/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: .NET Core 3.1

OverheadJitting  1: 1 op, 451081.00 ns, 451.0810 us/op
WorkloadJitting  1: 1 op, 655148.00 ns, 655.1480 us/op

OverheadJitting  2: 16 op, 697525.00 ns, 43.5953 us/op
WorkloadJitting  2: 16 op, 1039202.00 ns, 64.9501 us/op

WorkloadPilot    1: 16 op, 332692.00 ns, 20.7933 us/op
WorkloadPilot    2: 32 op, 664198.00 ns, 20.7562 us/op
WorkloadPilot    3: 64 op, 1317469.00 ns, 20.5855 us/op
WorkloadPilot    4: 128 op, 2712320.00 ns, 21.1900 us/op
WorkloadPilot    5: 256 op, 5372889.00 ns, 20.9878 us/op
WorkloadPilot    6: 512 op, 10609222.00 ns, 20.7211 us/op
WorkloadPilot    7: 1024 op, 21505770.00 ns, 21.0017 us/op
WorkloadPilot    8: 2048 op, 42808494.00 ns, 20.9026 us/op
WorkloadPilot    9: 4096 op, 85509016.00 ns, 20.8762 us/op
WorkloadPilot   10: 8192 op, 170339393.00 ns, 20.7934 us/op
WorkloadPilot   11: 16384 op, 341444280.00 ns, 20.8401 us/op
WorkloadPilot   12: 32768 op, 676795289.00 ns, 20.6542 us/op

OverheadWarmup   1: 32768 op, 124537.00 ns, 3.8006 ns/op
OverheadWarmup   2: 32768 op, 120863.00 ns, 3.6884 ns/op
OverheadWarmup   3: 32768 op, 120824.00 ns, 3.6873 ns/op
OverheadWarmup   4: 32768 op, 120821.00 ns, 3.6872 ns/op
OverheadWarmup   5: 32768 op, 120831.00 ns, 3.6875 ns/op
OverheadWarmup   6: 32768 op, 120817.00 ns, 3.6870 ns/op
OverheadWarmup   7: 32768 op, 120840.00 ns, 3.6877 ns/op
OverheadWarmup   8: 32768 op, 143547.00 ns, 4.3807 ns/op
OverheadWarmup   9: 32768 op, 130094.00 ns, 3.9702 ns/op

OverheadActual   1: 32768 op, 120835.00 ns, 3.6876 ns/op
OverheadActual   2: 32768 op, 134877.00 ns, 4.1161 ns/op
OverheadActual   3: 32768 op, 122434.00 ns, 3.7364 ns/op
OverheadActual   4: 32768 op, 120880.00 ns, 3.6890 ns/op
OverheadActual   5: 32768 op, 122516.00 ns, 3.7389 ns/op
OverheadActual   6: 32768 op, 120824.00 ns, 3.6873 ns/op
OverheadActual   7: 32768 op, 120853.00 ns, 3.6881 ns/op
OverheadActual   8: 32768 op, 120827.00 ns, 3.6873 ns/op
OverheadActual   9: 32768 op, 120814.00 ns, 3.6870 ns/op
OverheadActual  10: 32768 op, 133035.00 ns, 4.0599 ns/op
OverheadActual  11: 32768 op, 120816.00 ns, 3.6870 ns/op
OverheadActual  12: 32768 op, 120806.00 ns, 3.6867 ns/op
OverheadActual  13: 32768 op, 120786.00 ns, 3.6861 ns/op
OverheadActual  14: 32768 op, 120864.00 ns, 3.6885 ns/op
OverheadActual  15: 32768 op, 126272.00 ns, 3.8535 ns/op

WorkloadWarmup   1: 32768 op, 662062719.00 ns, 20.2046 us/op
WorkloadWarmup   2: 32768 op, 661136738.00 ns, 20.1763 us/op
WorkloadWarmup   3: 32768 op, 665472727.00 ns, 20.3086 us/op
WorkloadWarmup   4: 32768 op, 679602021.00 ns, 20.7398 us/op
WorkloadWarmup   5: 32768 op, 676162539.00 ns, 20.6348 us/op
WorkloadWarmup   6: 32768 op, 676858955.00 ns, 20.6561 us/op
WorkloadWarmup   7: 32768 op, 661962146.00 ns, 20.2015 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 670264224.00 ns, 20.4548 us/op
WorkloadActual   2: 32768 op, 678811944.00 ns, 20.7157 us/op
WorkloadActual   3: 32768 op, 684474508.00 ns, 20.8885 us/op
WorkloadActual   4: 32768 op, 665045882.00 ns, 20.2956 us/op
WorkloadActual   5: 32768 op, 661400829.00 ns, 20.1844 us/op
WorkloadActual   6: 32768 op, 661678307.00 ns, 20.1928 us/op
WorkloadActual   7: 32768 op, 671494495.00 ns, 20.4924 us/op
WorkloadActual   8: 32768 op, 682149226.00 ns, 20.8175 us/op
WorkloadActual   9: 32768 op, 716902900.00 ns, 21.8781 us/op
WorkloadActual  10: 32768 op, 685129271.00 ns, 20.9085 us/op
WorkloadActual  11: 32768 op, 682096614.00 ns, 20.8159 us/op
WorkloadActual  12: 32768 op, 680277194.00 ns, 20.7604 us/op
WorkloadActual  13: 32768 op, 700830184.00 ns, 21.3876 us/op
WorkloadActual  14: 32768 op, 685300242.00 ns, 20.9137 us/op
WorkloadActual  15: 32768 op, 681462740.00 ns, 20.7966 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 670143371.00 ns, 20.4512 us/op
WorkloadResult   2: 32768 op, 678691091.00 ns, 20.7120 us/op
WorkloadResult   3: 32768 op, 684353655.00 ns, 20.8848 us/op
